steps,healthy,sick,vaccinated,recovered,dead,percentage_survived,percentage_died,percentage_untouched,percentage_immunocompromised_survived,percentage_vaccinated_survived,percentage_unvaccinated_survived
71.0,0.0,0.0,0.0,45371.0,4629.0,90.742,9.258,0.0,33.72319688109162,0.0,90.742
71.0,0.0,0.0,0.0,45278.0,4722.0,90.556,9.443999999999999,0.0,36.45418326693227,0.0,90.556
90.0,0.0,0.0,0.0,45195.0,4805.0,90.39,9.610000000000001,0.0,38.66171003717472,0.0,90.39
77.0,0.0,0.0,0.0,45259.0,4741.0,90.518,9.482,0.0,34.709193245778614,0.0,90.518
88.0,0.0,0.0,0.0,45381.0,4619.0,90.762,9.238,0.0,41.04627766599598,0.0,90.762
88.0,0.0,0.0,0.0,45384.0,4616.0,90.768,9.232,0.0,36.199999999999996,0.0,90.768
68.0,0.0,0.0,0.0,45278.0,4722.0,90.556,9.443999999999999,0.0,36.79653679653679,0.0,90.556
89.0,0.0,0.0,0.0,45343.0,4657.0,90.686,9.314,0.0,36.400817995910025,0.0,90.686
84.0,0.0,0.0,0.0,45225.0,4775.0,90.45,9.55,0.0,36.81818181818181,0.0,90.45
82.0,0.0,0.0,0.0,45388.0,4612.0,90.776,9.224,0.0,37.72819472616633,0.0,90.776
73.0,0.0,0.0,0.0,45292.0,4708.0,90.584,9.415999999999999,0.0,36.672967863894144,0.0,90.584
76.0,0.0,0.0,0.0,45222.0,4778.0,90.444,9.556000000000001,0.0,38.58585858585858,0.0,90.444
75.0,0.0,0.0,0.0,45357.0,4643.0,90.714,9.286,0.0,35.714285714285715,0.0,90.714
73.0,0.0,0.0,0.0,45275.0,4725.0,90.55,9.45,0.0,32.22222222222222,0.0,90.55
76.0,0.0,0.0,0.0,45335.0,4665.0,90.67,9.33,0.0,34.66933867735471,0.0,90.67
78.0,0.0,0.0,0.0,45304.0,4696.0,90.608,9.392,0.0,37.06896551724138,0.0,90.608
74.0,0.0,0.0,0.0,45170.0,4830.0,90.34,9.66,0.0,33.4020618556701,0.0,90.34
72.0,0.0,0.0,0.0,45425.0,4575.0,90.85,9.15,0.0,38.059701492537314,0.0,90.85
74.0,0.0,0.0,0.0,45304.0,4696.0,90.608,9.392,0.0,35.75757575757576,0.0,90.608
84.0,0.0,0.0,0.0,45281.0,4719.0,90.562,9.438,0.0,33.79721669980119,0.0,90.562
76.0,0.0,0.0,0.0,45313.0,4687.0,90.62599999999999,9.374,0.0,34.53815261044177,0.0,90.62599999999999
76.0,0.0,0.0,0.0,45296.0,4704.0,90.592,9.408,0.0,38.84615384615385,0.0,90.592
85.0,0.0,0.0,0.0,45402.0,4598.0,90.804,9.196,0.0,36.24288425047438,0.0,90.804
84.0,0.0,0.0,0.0,45248.0,4752.0,90.496,9.504,0.0,33.59840954274354,0.0,90.496
70.0,0.0,0.0,0.0,45167.0,4833.0,90.334,9.666,0.0,36.20352250489237,0.0,90.334
74.0,0.0,0.0,0.0,45282.0,4718.0,90.564,9.436,0.0,37.82178217821782,0.0,90.564
73.0,0.0,0.0,0.0,45378.0,4622.0,90.756,9.244,0.0,34.0,0.0,90.756
70.0,0.0,0.0,0.0,45442.0,4558.0,90.884,9.116,0.0,38.02521008403361,0.0,90.884
72.0,0.0,0.0,0.0,45209.0,4791.0,90.41799999999999,9.582,0.0,36.666666666666664,0.0,90.41799999999999
70.0,0.0,0.0,0.0,45324.0,4676.0,90.648,9.352,0.0,34.419551934826885,0.0,90.648
77.1,0.0,0.0,0.0,45304.26666666667,4695.733333333334,90.60853333333333,9.391466666666666,0.0,36.161694014622,0.0,90.60853333333333
